term,coefficient
Intercept,-11.134102879291586
C(operator_id_public)[T.operator_02],-0.8049946755037617
C(operator_id_public)[T.operator_03],-1.5401263282367685
C(operator_id_public)[T.operator_04],-4.797577556168045
C(operator_id_public)[T.operator_other],-3.214688699252818
C(location_group)[T.ileocecal_valve],0.21185514036130224
C(location_group)[T.rectum],-0.6966741989825149
C(location_group)[T.right_colon_cecum],0.35869993058378574
C(location_group)[T.sigmoid_left_colon],0.07483293332510076
C(location_group)[T.transverse_colon],-0.251651605085379
C(lesion_morphology)[T.lst_granular_no_macronodule],0.02968437694510076
C(lesion_morphology)[T.lst_nongranular],0.2730293942767063
C(lesion_morphology)[T.protruding_or_other],1.0334021486130172
C(jnet_group)[T.jnet_iia],0.19726467310544582
C(jnet_group)[T.jnet_iib],0.43893175681903474
study_year_index,0.7976022985109686
"bs(major_diameter_mm, df=4, include_intercept=False)[0]",5.138040777338496
"bs(major_diameter_mm, df=4, include_intercept=False)[1]",8.825259465509598
"bs(major_diameter_mm, df=4, include_intercept=False)[2]",7.1252262486540054
"bs(major_diameter_mm, df=4, include_intercept=False)[3]",3.6895137994306
mici_history,0.23094697308694295
recurrence_history,0.3039664881780052
