variable,overall,non_atract,atract
n,2189,1617,572
"Age, years, mean (SD)",68.81 (10.75),68.52 (10.92),69.63 (10.20)
"Major diameter, mm, mean (SD)",49.93 (24.13),48.28 (24.44),54.63 (22.58)
"Specimen area, mm², mean (SD)",1936.53 (2166.25),1835.05 (2217.75),2225.73 (1985.91)
"Procedure duration, min, mean (SD)",69.90 (51.24),69.96 (52.59),69.75 (47.32)
"Dissection speed, mm²/min, mean (SD)",30.42 (22.66),28.29 (21.19),36.40 (25.45)
Sex: Male,1239 (56.6%),921 (57.0%),318 (55.6%)
Sex: Female,950 (43.4%),696 (43.0%),254 (44.4%)
Operator: operator_01,638 (29.1%),382 (23.6%),256 (44.8%)
Operator: operator_02,652 (29.8%),452 (28.0%),200 (35.0%)
Operator: operator_03,372 (17.0%),276 (17.1%),96 (16.8%)
Operator: operator_04,352 (16.1%),344 (21.3%),8 (1.4%)
Operator: operator_other,175 (8.0%),163 (10.1%),12 (2.1%)
Location: Flexures,389 (17.8%),274 (16.9%),115 (20.1%)
Location: Ileocecal valve,174 (7.9%),106 (6.6%),68 (11.9%)
Location: Rectum,425 (19.4%),359 (22.2%),66 (11.5%)
Location: Right colon/cecum,607 (27.7%),426 (26.3%),181 (31.6%)
Location: Sigmoid/left colon,401 (18.3%),301 (18.6%),100 (17.5%)
Location: Transverse colon,193 (8.8%),151 (9.3%),42 (7.3%)
Lesion type: LST granular,1431 (65.4%),1068 (66.0%),363 (63.5%)
Lesion type: LST nongranular,668 (30.5%),472 (29.2%),196 (34.3%)
Lesion type: Protruding or other,90 (4.1%),77 (4.8%),13 (2.3%)
JNET: JNET I,114 (5.3%),92 (5.8%),22 (3.9%)
JNET: JNET IIA,1011 (46.8%),748 (47.0%),263 (46.4%)
JNET: JNET IIB,849 (39.3%),639 (40.1%),210 (37.0%)
JNET: JNET III,186 (8.6%),114 (7.2%),72 (12.7%)
CONECCT: IIA,384 (18.8%),291 (19.2%),93 (17.5%)
CONECCT: IIC,1469 (71.8%),1093 (72.2%),376 (70.7%)
CONECCT: IIC+,122 (6.0%),75 (5.0%),47 (8.8%)
CONECCT: Is,70 (3.4%),54 (3.6%),16 (3.0%)
Fibrosis: F0,947 (48.1%),709 (50.4%),238 (42.5%)
Fibrosis: F1,492 (25.0%),323 (22.9%),169 (30.2%)
Fibrosis: F2,529 (26.9%),376 (26.7%),153 (27.3%)
Recurrence or scar history: No,1895 (86.6%),1390 (86.0%),505 (88.3%)
Recurrence or scar history: Yes,294 (13.4%),227 (14.0%),67 (11.7%)
