study_year_index,operator_id_public,total_n,conventional_n,atract_n,atract_pct,speed_overall_n,speed_overall_mean,speed_overall_sd,speed_overall_median,speed_overall_iqr_q1,speed_overall_iqr_q3,speed_conventional_n,speed_conventional_mean,speed_conventional_sd,speed_conventional_median,speed_conventional_iqr_q1,speed_conventional_iqr_q3,speed_atract_n,speed_atract_mean,speed_atract_sd,speed_atract_median,speed_atract_iqr_q1,speed_atract_iqr_q3
1,operator_01,22,22,0,0.0,22,43.99939324565987,26.014827190205303,35.99741582238305,26.23821604089763,56.04143145075543,22,43.99939324565987,26.014827190205303,35.99741582238305,26.23821604089763,56.04143145075543,0,,,,,
1,operator_02,32,32,0,0.0,31,38.00153054996186,29.024812510662134,27.397610351073777,15.553654887810733,48.03011845392088,31,38.00153054996186,29.024812510662134,27.397610351073777,15.553654887810733,48.03011845392088,0,,,,,
1,operator_04,14,14,0,0.0,14,22.601284543125622,14.654355072535733,16.601353678813567,12.331259513665762,31.808625617596654,14,22.601284543125622,14.654355072535733,16.601353678813567,12.331259513665762,31.808625617596654,0,,,,,
2,operator_01,68,68,0,0.0,67,40.22556812235678,22.894337855053024,36.592414431017474,22.093591813832564,57.16383184333644,67,40.22556812235678,22.894337855053024,36.592414431017474,22.093591813832564,57.16383184333644,0,,,,,
2,operator_02,30,30,0,0.0,30,38.04115166758039,19.43362413323512,36.87013963616005,24.20289901057056,44.51841141383013,30,38.04115166758039,19.43362413323512,36.87013963616005,24.20289901057056,44.51841141383013,0,,,,,
2,operator_03,11,11,0,0.0,11,16.59055750459366,9.642541108001149,13.362677085581586,11.830059836174065,19.395919861293507,11,16.59055750459366,9.642541108001149,13.362677085581586,11.830059836174065,19.395919861293507,0,,,,,
2,operator_04,30,30,0,0.0,28,24.14473639435788,14.296828939726474,20.64253725508425,13.77745147797747,28.766992730257446,28,24.14473639435788,14.296828939726474,20.64253725508425,13.77745147797747,28.766992730257446,0,,,,,
2,operator_other,6,6,0,0.0,6,17.978067729427508,10.446074843335126,19.277833553389684,13.639714038052302,24.51767915348751,6,17.978067729427508,10.446074843335126,19.277833553389684,13.639714038052302,24.51767915348751,0,,,,,
3,operator_01,116,114,2,1.7241379310344827,115,37.920752236080205,26.774069819255068,32.98672286269283,19.634954084936208,47.81688818331523,113,37.87396270577305,26.91067423466732,32.98672286269283,19.634954084936208,47.12388980384689,2,40.564360698434875,24.456425062362488,40.564360698434875,31.9177086958463,49.21101270102345
3,operator_02,102,102,0,0.0,97,34.58176891754092,20.258719635187134,32.397674240144745,17.671458676442587,47.12388980384689,97,34.58176891754092,20.258719635187134,32.397674240144745,17.671458676442587,47.12388980384689,0,,,,,
3,operator_03,17,17,0,0.0,16,22.820616135697357,9.73386051761077,21.054360340215034,14.75316550068148,27.77331423419666,16,22.820616135697357,9.73386051761077,21.054360340215034,14.75316550068148,27.77331423419666,0,,,,,
3,operator_04,48,48,0,0.0,45,20.109908030518078,14.523236236599196,16.829960644231033,9.817477042468104,24.802047265182576,45,20.109908030518078,14.523236236599196,16.829960644231033,9.817477042468104,24.802047265182576,0,,,,,
3,operator_other,21,21,0,0.0,21,16.302600517609292,10.812970181494515,13.698805175536888,9.42477796076938,19.634954084936208,21,16.302600517609292,10.812970181494515,13.698805175536888,9.42477796076938,19.634954084936208,0,,,,,
4,operator_01,89,42,47,52.80898876404494,86,42.76074794805894,28.492211219409985,37.06841331792502,23.760779879998754,52.03262832508095,40,31.893257488530537,19.10101248486295,27.48893571891069,18.32595714594046,42.22253284429892,46,52.210739651996676,31.952192876136454,43.61686883812079,30.57442850368638,64.94638658863515
4,operator_02,123,90,33,26.829268292682926,122,30.24926511933755,20.196344903797314,26.851437209659515,15.380714033200029,40.76484217406642,90,28.04718331870646,20.122655317698968,22.019198509535606,14.268066635053643,39.269908169872416,32,36.44262018361252,19.388317635321776,33.32332207557745,24.44551783574558,44.12586455646954
4,operator_03,63,62,1,1.5873015873015872,58,19.49727784239349,9.973157970636311,17.262397133006417,10.91703447122453,25.132741228718345,57,19.425967893980683,10.046880988299517,16.198837120072373,10.890854532444616,25.132741228718345,1,23.561944901923447,,23.561944901923447,23.561944901923447,23.561944901923447
4,operator_04,46,46,0,0.0,40,22.345735591700155,12.389465804887067,19.634954084936208,14.535320176765277,27.488935718910685,40,22.345735591700155,12.389465804887067,19.634954084936208,14.535320176765277,27.488935718910685,0,,,,,
4,operator_other,30,29,1,3.3333333333333335,30,20.211783441186455,11.252419891864138,20.28945255443408,10.471975511965978,30.10692959690218,29,19.825433679299852,11.2472696825849,19.634954084936208,10.471975511965978,28.797932657906433,1,31.41592653589793,,31.41592653589793,31.41592653589793,31.41592653589793
5,operator_01,104,42,62,59.61538461538461,104,39.61156102426734,25.60396739258515,35.34291735288517,19.536779314511527,52.52350217720435,42,36.563669596562946,26.891933137175972,31.566964644243594,15.707963267948966,50.783787495414046,62,41.676261668841285,24.70093746400148,37.76456169002731,23.07107104980004,52.85075141195329
5,operator_02,108,74,34,31.48148148148148,108,33.957101155581135,23.187238950619605,29.054425301358307,16.46063650787152,42.4442257469371,74,30.660737898097032,21.343223047710254,27.88163480060941,14.76712171804577,39.269908169872416,34,41.13153883363481,25.655212863964238,36.91371367968007,22.074448380337373,48.98404334873559
5,operator_03,69,60,9,13.043478260869565,66,18.77696357061725,12.29084446686832,15.707963267948966,10.027851550520992,24.772023322233725,58,18.863817933627907,12.295742094379381,15.707963267948966,10.799224746714913,24.632942397465424,8,18.147269438790048,13.082406407486664,12.51728322914683,7.731263170943631,25.82256336561412
5,operator_04,57,56,1,1.7543859649122806,56,29.79279959197127,21.216518407341667,23.561944901923447,15.707963267948966,38.09181092477624,55,29.870387942544994,21.404047073398033,23.561944901923447,15.707963267948966,38.48451000647496,1,25.525440310417068,,25.525440310417068,25.525440310417068,25.525440310417068
5,operator_other,14,13,1,7.142857142857143,14,26.883921037718498,22.646982332759418,18.066106636958676,13.030071092525747,34.24216992691147,13,27.916225077898012,23.22636238780303,19.030801651553556,12.885438618239386,35.34291735288517,1,13.463968515384828,,13.463968515384828,13.463968515384828,13.463968515384828
6,operator_01,97,35,62,63.91752577319588,95,35.57742014666527,26.00752011309588,31.41592653589793,18.87976354320789,41.82245220091413,34,28.319754609428053,26.938467880386785,20.12582793705961,9.431790444371142,32.59402378099411,61,39.6226763477483,24.780426701940012,34.361169648638366,24.54369260617026,42.54240051736178
6,operator_02,99,44,55,55.55555555555556,98,35.79717627020664,22.477697215159896,28.863382504856222,20.93753437227021,46.55120364303625,44,35.08157724074809,23.882987150006404,27.88163480060941,18.96356533235452,45.9239759431008,54,36.38025696087656,21.474417278870284,31.41592653589793,22.54251551000014,46.55120364303625
6,operator_03,93,51,42,45.16129032258065,91,19.193498791064734,12.501545248491986,16.198837120072373,10.088796408005402,24.221265991722884,49,18.37148516991082,13.497349998755418,14.660765716752367,9.801769079200156,20.106192982974676,42,20.152514682410963,11.315512332378203,17.811708348477843,12.471141087047233,26.98715355896232
6,operator_04,28,25,3,10.714285714285714,28,22.89428515367856,12.367632085290259,17.72600021556741,15.053464798451092,30.368728984701328,25,22.868271190700995,11.543749192345107,17.998707911191524,15.707963267948964,28.274333882308134,3,23.111068178491582,21.58148904671552,15.271630954950382,10.90830782496456,31.394109920248003
6,operator_other,35,27,8,22.857142857142858,34,16.096781770650825,12.049573271909901,13.526301702956054,7.152733273798189,20.86213871524472,26,17.22670835079899,12.002137610616343,14.121300311590485,9.924188749451453,21.680261802117062,8,12.424520385169277,12.241506286277536,8.032481216564811,4.704207749515966,14.680904131198455
7,operator_01,72,29,43,59.72222222222222,71,40.591188906361474,21.041951349526897,36.65191429188092,23.998277214922027,52.40438345575575,28,32.27576392372033,19.715321369911393,26.834437249412815,21.22865785816353,38.09181092477624,43,46.005884243895245,20.2965602032877,48.596511360217114,29.084275738311756,57.954783831343974
7,operator_02,87,40,47,54.02298850574713,82,35.24632856002919,30.43889719578088,26.35459906156975,16.713157488096343,41.88790204786391,36,34.76366661123328,27.03573992631856,27.235970052785746,15.481070465189703,45.31714402880445,46,35.624063998217295,33.1498617981143,25.489696160300575,18.325957145940457,34.78801647657176
7,operator_03,82,48,34,41.46341463414634,73,20.0105548704451,15.646755376361517,16.169962187594525,11.780972450961723,22.51474735072685,44,19.769131257933036,17.767698175072116,15.707963267948966,9.653852425093636,20.224002707484292,29,20.37685276529099,12.020719961590277,17.802358370342162,13.962634015954636,23.561944901923447
7,operator_04,85,84,1,1.1764705882352942,83,29.882095393515886,18.5679365484434,25.132741228718345,18.16233252856599,36.65191429188092,82,30.02959706409103,18.633211275372442,25.329090769567706,18.325957145940457,36.65191429188092,1,17.786958406353975,,17.786958406353975,17.786958406353975,17.786958406353975
7,operator_other,45,44,1,2.2222222222222223,45,16.842339568029576,12.253301660599275,14.726215563702157,10.471975511965978,22.43994752564138,44,16.86812084757686,12.393728360058686,14.726215563702157,10.37847573060914,22.58954717581232,1,15.707963267948966,,15.707963267948966,15.707963267948966,15.707963267948966
8,operator_01,8,3,5,62.5,8,52.70727907788037,23.8284909151537,57.28497854280138,45.2149359344781,66.72805419334094,3,47.29592940154347,35.10777182413546,58.90486225480861,33.37942194439155,67.01690328532797,5,55.9540888836825,18.499395832092596,55.665094830794146,50.39638215133626,63.92775748583881
