population,variable,overall,non_atract,atract
primary_matched_speed_cohort,n,782,391,391
primary_matched_speed_cohort,"Age, years, mean (SD)",69.52 (10.54),69.58 (10.82),69.47 (10.26)
primary_matched_speed_cohort,"Age, years, median (IQR)",71.00 (63.00-77.00),71.00 (63.00-77.00),71.00 (63.00-76.00)
primary_matched_speed_cohort,"Major diameter, mm, mean (SD)",53.80 (23.26),53.46 (23.66),54.15 (22.86)
primary_matched_speed_cohort,"Major diameter, mm, median (IQR)",50.00 (40.00-65.00),50.00 (35.00-65.00),50.00 (40.00-65.00)
primary_matched_speed_cohort,"Specimen area, mm², mean (SD)",2185.96 (2100.08),2150.90 (2139.70),2221.01 (2061.84)
primary_matched_speed_cohort,"Specimen area, mm², median (IQR)",1570.80 (883.57-2748.89),1413.72 (824.67-2748.89),1570.80 (942.48-2807.80)
primary_matched_speed_cohort,"Procedure duration, min, mean (SD)",69.45 (46.59),69.95 (49.42),68.95 (43.64)
primary_matched_speed_cohort,"Procedure duration, min, median (IQR)",60.00 (35.00-90.00),60.00 (35.00-90.00),60.00 (38.00-90.00)
primary_matched_speed_cohort,"Dissection speed, mm²/min, mean (SD)",34.91 (25.04),33.69 (23.41),36.13 (26.54)
primary_matched_speed_cohort,"Dissection speed, mm²/min, median (IQR)",27.49 (16.81-45.42),27.49 (15.71-45.32),28.27 (17.79-45.54)
primary_matched_speed_cohort,Sex: Male,441 (56.4%),230 (58.8%),211 (54.0%)
primary_matched_speed_cohort,Sex: Female,341 (43.6%),161 (41.2%),180 (46.0%)
primary_matched_speed_cohort,Operator: operator_01,292 (37.3%),146 (37.3%),146 (37.3%)
primary_matched_speed_cohort,Operator: operator_02,294 (37.6%),147 (37.6%),147 (37.6%)
primary_matched_speed_cohort,Operator: operator_03,166 (21.2%),83 (21.2%),83 (21.2%)
primary_matched_speed_cohort,Operator: operator_04,10 (1.3%),5 (1.3%),5 (1.3%)
primary_matched_speed_cohort,Operator: operator_other,20 (2.6%),10 (2.6%),10 (2.6%)
primary_matched_speed_cohort,Location: Flexures,159 (20.3%),84 (21.5%),75 (19.2%)
primary_matched_speed_cohort,Location: Ileocecal valve,81 (10.4%),41 (10.5%),40 (10.2%)
primary_matched_speed_cohort,Location: Rectum,98 (12.5%),55 (14.1%),43 (11.0%)
primary_matched_speed_cohort,Location: Right colon/cecum,268 (34.3%),128 (32.7%),140 (35.8%)
primary_matched_speed_cohort,Location: Sigmoid/left colon,124 (15.9%),58 (14.8%),66 (16.9%)
primary_matched_speed_cohort,Location: Transverse colon,52 (6.6%),25 (6.4%),27 (6.9%)
primary_matched_speed_cohort,Lesion morphology: LST granular with macronodule,313 (40.0%),149 (38.1%),164 (41.9%)
primary_matched_speed_cohort,Lesion morphology: LST granular without macronodule,204 (26.1%),102 (26.1%),102 (26.1%)
primary_matched_speed_cohort,Lesion morphology: LST nongranular,248 (31.7%),131 (33.5%),117 (29.9%)
primary_matched_speed_cohort,Lesion morphology: Protruding or other,17 (2.2%),9 (2.3%),8 (2.0%)
primary_matched_speed_cohort,JNET: JNET I,36 (4.6%),18 (4.6%),18 (4.6%)
primary_matched_speed_cohort,JNET: JNET IIA,406 (51.9%),204 (52.2%),202 (51.7%)
primary_matched_speed_cohort,JNET: JNET IIB,340 (43.5%),169 (43.2%),171 (43.7%)
primary_matched_speed_cohort,CONECCT: IIA,149 (19.4%),78 (20.4%),71 (18.5%)
primary_matched_speed_cohort,CONECCT: IIC,587 (76.5%),288 (75.2%),299 (77.9%)
primary_matched_speed_cohort,CONECCT: IIC+,3 (0.4%),1 (0.3%),2 (0.5%)
primary_matched_speed_cohort,CONECCT: Is,28 (3.7%),16 (4.2%),12 (3.1%)
primary_matched_speed_cohort,Fibrosis: F0,366 (48.0%),179 (47.6%),187 (48.3%)
primary_matched_speed_cohort,Fibrosis: F1,223 (29.2%),107 (28.5%),116 (30.0%)
primary_matched_speed_cohort,Fibrosis: F2,174 (22.8%),90 (23.9%),84 (21.7%)
primary_matched_speed_cohort,IBD history: No,756 (96.7%),377 (96.4%),379 (96.9%)
primary_matched_speed_cohort,IBD history: Yes,26 (3.3%),14 (3.6%),12 (3.1%)
primary_matched_speed_cohort,Recurrence or scar history: No,681 (87.1%),338 (86.4%),343 (87.7%)
primary_matched_speed_cohort,Recurrence or scar history: Yes,101 (12.9%),53 (13.6%),48 (12.3%)
