population,variable,overall,non_atract,atract
speed_support_cohort_not_matched,n,1134,1043,91
speed_support_cohort_not_matched,"Age, years, mean (SD)",68.05 (10.86),67.93 (10.90),69.51 (10.31)
speed_support_cohort_not_matched,"Age, years, median (IQR)",69.00 (62.00-75.00),69.00 (62.00-75.00),72.00 (63.50-76.00)
speed_support_cohort_not_matched,"Major diameter, mm, mean (SD)",48.67 (24.47),47.37 (24.56),63.65 (17.58)
speed_support_cohort_not_matched,"Major diameter, mm, median (IQR)",45.00 (32.00-60.00),40.00 (30.00-55.00),63.00 (50.00-70.00)
speed_support_cohort_not_matched,"Specimen area, mm², mean (SD)",1854.62 (2282.63),1784.69 (2318.64),2656.07 (1625.93)
speed_support_cohort_not_matched,"Specimen area, mm², median (IQR)",1237.00 (687.22-2120.58),1099.56 (628.32-1963.50),2042.04 (1507.96-3298.67)
speed_support_cohort_not_matched,"Procedure duration, min, mean (SD)",68.49 (50.05),68.37 (50.49),69.89 (44.92)
speed_support_cohort_not_matched,"Procedure duration, min, median (IQR)",60.00 (35.00-90.00),60.00 (30.50-90.00),60.00 (40.00-90.00)
speed_support_cohort_not_matched,"Dissection speed, mm²/min, mean (SD)",28.22 (20.79),27.00 (20.45),42.25 (19.68)
speed_support_cohort_not_matched,"Dissection speed, mm²/min, median (IQR)",23.22 (13.47-36.65),21.82 (13.04-34.91),38.88 (28.00-53.49)
speed_support_cohort_not_matched,Sex: Male,619 (54.6%),573 (54.9%),46 (50.5%)
speed_support_cohort_not_matched,Sex: Female,515 (45.4%),470 (45.1%),45 (49.5%)
speed_support_cohort_not_matched,Operator: operator_01,262 (23.1%),190 (18.2%),72 (79.1%)
speed_support_cohort_not_matched,Operator: operator_02,272 (24.0%),254 (24.4%),18 (19.8%)
speed_support_cohort_not_matched,Operator: operator_03,162 (14.3%),161 (15.4%),1 (1.1%)
speed_support_cohort_not_matched,Operator: operator_04,298 (26.3%),298 (28.6%),0 (0.0%)
speed_support_cohort_not_matched,Operator: operator_other,140 (12.3%),140 (13.4%),0 (0.0%)
speed_support_cohort_not_matched,Location: Flexures,180 (15.9%),157 (15.1%),23 (25.3%)
speed_support_cohort_not_matched,Location: Ileocecal valve,74 (6.5%),55 (5.3%),19 (20.9%)
speed_support_cohort_not_matched,Location: Rectum,266 (23.5%),261 (25.0%),5 (5.5%)
speed_support_cohort_not_matched,Location: Right colon/cecum,298 (26.3%),272 (26.1%),26 (28.6%)
speed_support_cohort_not_matched,Location: Sigmoid/left colon,207 (18.3%),194 (18.6%),13 (14.3%)
speed_support_cohort_not_matched,Location: Transverse colon,109 (9.6%),104 (10.0%),5 (5.5%)
speed_support_cohort_not_matched,Lesion morphology: LST granular with macronodule,506 (44.6%),474 (45.4%),32 (35.2%)
speed_support_cohort_not_matched,Lesion morphology: LST granular without macronodule,267 (23.5%),242 (23.2%),25 (27.5%)
speed_support_cohort_not_matched,Lesion morphology: LST nongranular,309 (27.2%),276 (26.5%),33 (36.3%)
speed_support_cohort_not_matched,Lesion morphology: Protruding or other,52 (4.6%),51 (4.9%),1 (1.1%)
speed_support_cohort_not_matched,JNET: JNET I,77 (6.8%),73 (7.0%),4 (4.4%)
speed_support_cohort_not_matched,JNET: JNET IIA,580 (51.1%),525 (50.3%),55 (60.4%)
speed_support_cohort_not_matched,JNET: JNET IIB,477 (42.1%),445 (42.7%),32 (35.2%)
speed_support_cohort_not_matched,CONECCT: IIA,224 (20.5%),202 (20.2%),22 (24.7%)
speed_support_cohort_not_matched,CONECCT: IIC,826 (75.7%),763 (76.1%),63 (70.8%)
speed_support_cohort_not_matched,CONECCT: IIC+,1 (0.1%),1 (0.1%),0 (0.0%)
speed_support_cohort_not_matched,CONECCT: Is,40 (3.7%),36 (3.6%),4 (4.5%)
speed_support_cohort_not_matched,Fibrosis: F0,536 (55.3%),496 (56.4%),40 (44.4%)
speed_support_cohort_not_matched,Fibrosis: F1,206 (21.2%),179 (20.3%),27 (30.0%)
speed_support_cohort_not_matched,Fibrosis: F2,228 (23.5%),205 (23.3%),23 (25.6%)
speed_support_cohort_not_matched,IBD history: No,1114 (98.2%),1029 (98.7%),85 (93.4%)
speed_support_cohort_not_matched,IBD history: Yes,20 (1.8%),14 (1.3%),6 (6.6%)
speed_support_cohort_not_matched,Recurrence or scar history: No,977 (86.2%),895 (85.8%),82 (90.1%)
speed_support_cohort_not_matched,Recurrence or scar history: Yes,157 (13.8%),148 (14.2%),9 (9.9%)
