variable,overall,conventional,atract
atract,0 (0.0%),0 (0.0%),0 (0.0%)
study_year_index,0 (0.0%),0 (0.0%),0 (0.0%)
operator_id_public,0 (0.0%),0 (0.0%),0 (0.0%)
operator_experience,2003 (100.0%),1503 (100.0%),500 (100.0%)
age_years_topcoded,0 (0.0%),0 (0.0%),0 (0.0%)
sex,0 (0.0%),0 (0.0%),0 (0.0%)
asa,0 (0.0%),0 (0.0%),0 (0.0%)
anticoagulants,0 (0.0%),0 (0.0%),0 (0.0%)
antiplatelets,0 (0.0%),0 (0.0%),0 (0.0%)
location_group,0 (0.0%),0 (0.0%),0 (0.0%)
major_diameter_mm,39 (1.9%),27 (1.8%),12 (2.4%)
minor_diameter_mm,39 (1.9%),27 (1.8%),12 (2.4%)
surface_mm2,39 (1.9%),27 (1.8%),12 (2.4%)
lesion_type,0 (0.0%),0 (0.0%),0 (0.0%)
macronodule,661 (33.0%),497 (33.1%),164 (32.8%)
lesion_morphology,0 (0.0%),0 (0.0%),0 (0.0%)
jnet_group,29 (1.4%),24 (1.6%),5 (1.0%)
conecct_group,77 (3.8%),64 (4.3%),13 (2.6%)
fibrosis,207 (10.3%),199 (13.2%),8 (1.6%)
mici_history,0 (0.0%),0 (0.0%),0 (0.0%)
recurrence_history,0 (0.0%),0 (0.0%),0 (0.0%)
procedure_duration_min,19 (0.9%),18 (1.2%),1 (0.2%)
speed_mm2_min,58 (2.9%),45 (3.0%),13 (2.6%)
r0,60 (3.0%),41 (2.7%),19 (3.8%)
perforation,0 (0.0%),0 (0.0%),0 (0.0%)
delayed_bleeding,0 (0.0%),0 (0.0%),0 (0.0%)
curative_resection,28 (1.4%),15 (1.0%),13 (2.6%)
