variable,missing_n,missing_pct
atract,0,0.0
study_year_index,0,0.0
operator_id_public,0,0.0
operator_experience,2003,100.0
age_years_topcoded,0,0.0
sex,0,0.0
asa,0,0.0
anticoagulants,0,0.0
antiplatelets,0,0.0
location_group,0,0.0
major_diameter_mm,39,1.947079380928607
minor_diameter_mm,39,1.947079380928607
surface_mm2,39,1.947079380928607
lesion_type,0,0.0
macronodule,661,33.000499251123316
lesion_morphology,0,0.0
jnet_group,29,1.4478282576135797
conecct_group,77,3.8442336495257114
fibrosis,207,10.334498252621069
mici_history,0,0.0
recurrence_history,0,0.0
procedure_duration_min,19,0.9485771342985522
speed_mm2_min,58,2.8956565152271594
r0,60,2.995506739890165
perforation,0,0.0
delayed_bleeding,0,0.0
curative_resection,28,1.397903145282077
